tstp,visibility,windBearing,temperature,dewPoint,pressure,apparentTemperature,windSpeed,humidity
01/01/2012 00:00,12.99,229,12.12,10.97,1008.1,12.12,5.9,0.93
01/01/2012 00:30,12.99,229,12.12,10.97,1008.1,12.12,5.9,0.93
01/01/2012 01:00,12.89,238,12.59,11.02,1007.88,12.59,6.06,0.9
01/01/2012 01:30,12.89,238,12.59,11.02,1007.88,12.59,6.06,0.9
01/01/2012 02:00,11.54,229,12.45,11.04,1007.95,12.45,5.31,0.91
01/01/2012 02:30,11.54,229,12.45,11.04,1007.95,12.45,5.31,0.91
01/01/2012 03:00,13.6,231,12.03,10.94,1007.66,12.03,4.68,0.93
01/01/2012 03:30,13.6,231,12.03,10.94,1007.66,12.03,4.68,0.93
01/01/2012 04:00,14.13,227,12.04,10.84,1007.6,12.04,4.9,0.92
01/01/2012 04:30,14.13,227,12.04,10.84,1007.6,12.04,4.9,0.92
01/01/2012 05:00,13.36,225,11.99,10.8,1007.45,11.99,4.85,0.92
01/01/2012 05:30,13.36,225,11.99,10.8,1007.45,11.99,4.85,0.92
01/01/2012 06:00,14.13,224,11.97,10.42,1007.46,11.97,5.1,0.9
01/01/2012 06:30,14.13,224,11.97,10.42,1007.46,11.97,5.1,0.9
01/01/2012 07:00,14,217,11.96,10.37,1007.32,11.96,4.57,0.9
01/01/2012 07:30,14,217,11.96,10.37,1007.32,11.96,4.57,0.9
01/01/2012 08:00,13.28,216,11.9,9.73,1007.33,11.9,4.9,0.87
01/01/2012 08:30,13.28,216,11.9,9.73,1007.33,11.9,4.9,0.87
01/01/2012 09:00,12.73,213,11.53,9.82,1007.1,11.53,5.36,0.89
01/01/2012 09:30,12.73,213,11.53,9.82,1007.1,11.53,5.36,0.89
01/01/2012 10:00,11.73,216,12.02,9.85,1006.81,12.02,5.68,0.87
01/01/2012 10:30,11.73,216,12.02,9.85,1006.81,12.02,5.68,0.87
01/01/2012 11:00,13.07,218,12.49,9.73,1006.04,12.49,6.05,0.83
01/01/2012 11:30,13.07,218,12.49,9.73,1006.04,12.49,6.05,0.83
01/01/2012 12:00,13.52,219,12.56,9.33,1005.36,12.56,6.11,0.81
